PublisherID,Gold_LineOfCoverageId,AssetId,CoverageTrigger,ClaimsMadeRetroDate,LimitAmount,LimitType,AggregateLimit,SublimitAmount,PerRiskLimit,DeductibleAmount,DeductibleType,Rate,ExposureBase,ExposureUnit,ManualPremium,TechnicalPremium,WrittenPremium,EarnedPremium,FullyEarnedFlag,DiscountAmount,SurchargeAmount,ValuationMethod,BlanketIndicator,PrimaryExcessIndicator,QuotaSharePercent,EndorsementIndicator,EndorsementEffectiveDate,OriginalEffectiveDate,UnderwriterNotes,RiskScore,LossHistoryIndicator,EffectiveFrom,EffectiveTo,ActiveFlag,FID_Coverage,FID_CoverageStatus,FID_Policy
POL_ADMIN,LOC000001,AST-POL000001-01,CLAIMS_MADE,"Jan 04, 2023",450000.00,COMBINED_SINGLE_LIMIT,675000.00,45000.00,450000.00,0.00,FLAT,0.0045,250000.00,SALES,1125.00,1068.75,1012.50,556.88,FALSE,56.25,0.00,STATED_AMOUNT,FALSE,PRIMARY,100.00,TRUE,"Feb 18, 2024","Jan 04, 2024","Generated from ACTIVE policy status, Commercial Auto Liability Core Liability Coverage selected for sample policy coverage.",25,FALSE,"Jan 04, 2024","Jan 03, 2025",TRUE,COV001,ACTIVE,POL000001
POL_ADMIN,LOC000002,AST-POL000002-01,OCCURRENCE,,1000000.00,COMBINED_SINGLE_LIMIT,1500000.00,150000.00,1000000.00,0.00,FLAT,0.0052,323591.00,SALES,1682.67,1655.75,1571.62,990.12,FALSE,84.13,0.00,STATED_AMOUNT,FALSE,PRIMARY,100.00,TRUE,"Feb 22, 2024","Jan 07, 2024","Generated from ACTIVE policy status, Commercial Auto Liability Core Liability Coverage selected for sample policy coverage.",42,FALSE,"Jan 07, 2024","Jan 06, 2025",TRUE,COV003,ENDORSED,POL000002
POL_ADMIN,LOC000003,AST-POL000002-02,OCCURRENCE,,275000.00,PER_OCCURRENCE,550000.00,55000.00,275000.00,500.00,FLAT,470.0000,5.00,VEHICLE,2350.00,2364.10,2246.60,1595.09,FALSE,117.50,0.00,ACTUAL_CASH_VALUE,FALSE,EXCESS,50.00,FALSE,,"Jan 07, 2024","Generated from ACTIVE policy status, Commercial Auto Liability Vehicle Damage Coverage selected for sample policy coverage.",53,FALSE,"Jan 07, 2024","Jan 06, 2025",TRUE,COV004,ACTIVE,POL000002
POL_ADMIN,LOC000004,AST-POL000003-01,OCCURRENCE,,550000.00,COMBINED_SINGLE_LIMIT,825000.00,110000.00,550000.00,0.00,FLAT,0.0059,397182.00,SALES,2343.37,2385.55,2268.39,1610.55,FALSE,117.17,0.00,STATED_AMOUNT,FALSE,PRIMARY,100.00,FALSE,,"Jan 10, 2024","Generated from ISSUED policy status, Commercial Auto Physical Damage Core Liability Coverage selected for sample policy coverage.",59,FALSE,"Jan 10, 2024","Jan 09, 2025",TRUE,COV005,ACTIVE,POL000003
POL_ADMIN,LOC000005,AST-POL000003-02,OCCURRENCE,,120000.00,PER_OCCURRENCE,240000.00,12000.00,120000.00,1000.00,FLAT,525.0000,8.00,VEHICLE,4200.00,4368.00,4158.00,3284.82,FALSE,210.00,0.00,ACTUAL_CASH_VALUE,FALSE,EXCESS,50.00,FALSE,,"Jan 10, 2024","Generated from ISSUED policy status, Commercial Auto Physical Damage Vehicle Damage Coverage selected for sample policy coverage.",70,FALSE,"Jan 10, 2024","Jan 09, 2025",TRUE,COV006,ACTIVE,POL000003
POL_ADMIN,LOC000006,AST-POL000003-03,CLAIMS_MADE,"Jan 10, 2023",1300000.00,COMBINED_SINGLE_LIMIT,1950000.00,195000.00,1300000.00,0.00,FLAT,0.0073,447182.00,SALES,3264.43,3466.82,3564.76,1960.62,FALSE,163.22,261.15,STATED_AMOUNT,FALSE,UMBRELLA,25.00,FALSE,,"Jan 10, 2024","Generated from ISSUED policy status, Commercial Auto Physical Damage Core Liability Coverage selected for sample policy coverage.",81,TRUE,"Jan 10, 2024","Jan 09, 2025",TRUE,COV007,ACTIVE,POL000003
POL_ADMIN,LOC000007,AST-POL000004-01,OCCURRENCE,,1200000.00,COMBINED_SINGLE_LIMIT,1800000.00,120000.00,1200000.00,0.00,FLAT,0.0066,470773.00,SALES,3107.10,3268.67,3470.63,520.59,FALSE,46.61,248.57,STATED_AMOUNT,FALSE,PRIMARY,100.00,FALSE,,"Jan 13, 2024","Generated from BOUND policy status, Commercial Auto Physical Damage Core Liability Coverage selected for sample policy coverage.",76,TRUE,"Jan 13, 2024","Jan 12, 2025",TRUE,COV007,BOUND,POL000004
POL_ADMIN,LOC000008,AST-POL000005-01,CLAIMS_MADE,"Jan 16, 2023",650000.00,COMBINED_SINGLE_LIMIT,975000.00,97500.00,650000.00,0.00,FLAT,0.0073,544364.00,SALES,3973.86,4315.61,4434.82,2439.15,FALSE,198.69,317.91,STATED_AMOUNT,FALSE,PRIMARY,100.00,FALSE,,"Jan 16, 2024","Generated from REINSTATED policy status, Fleet Liability Core Liability Coverage selected for sample policy coverage.",93,TRUE,"Jan 16, 2024","Jan 15, 2025",TRUE,COV009,REINSTATED,POL000005
POL_ADMIN,LOC000009,AST-POL000005-02,OCCURRENCE,,90000.00,PER_OCCURRENCE,180000.00,18000.00,90000.00,1000.00,FLAT,635.0000,14.00,VEHICLE,8890.00,8552.18,8107.68,5107.84,FALSE,444.50,0.00,ACTUAL_CASH_VALUE,FALSE,EXCESS,50.00,FALSE,,"Jan 16, 2024","Generated from REINSTATED policy status, Fleet Liability Vehicle Damage Coverage selected for sample policy coverage.",31,FALSE,"Jan 16, 2024","Jan 15, 2025",TRUE,COV010,ACTIVE,POL000005
POL_ADMIN,LOC000010,AST-POL000006-01,OCCURRENCE,,900000.00,COMBINED_SINGLE_LIMIT,1350000.00,180000.00,900000.00,0.00,FLAT,0.0080,617955.00,SALES,4943.64,4815.11,4567.92,228.40,FALSE,247.18,0.00,STATED_AMOUNT,FALSE,PRIMARY,100.00,FALSE,,"Jan 19, 2024","Generated from APPLICATION policy status, Fleet Liability Core Liability Coverage selected for sample policy coverage.",37,FALSE,"Jan 19, 2024","Jan 18, 2025",TRUE,COV011,UW_REVIEW,POL000006
POL_ADMIN,LOC000011,AST-POL000006-02,OCCURRENCE,,250000.00,PER_OCCURRENCE,500000.00,25000.00,250000.00,500.00,FLAT,690.0000,17.00,VEHICLE,11730.00,11683.08,11096.58,0.00,FALSE,586.50,0.00,ACTUAL_CASH_VALUE,FALSE,EXCESS,50.00,FALSE,,"Jan 19, 2024","Generated from APPLICATION policy status, Fleet Liability Vehicle Damage Coverage selected for sample policy coverage.",48,FALSE,"Jan 19, 2024","Jan 18, 2025",TRUE,COV012,REQUESTED,POL000006
POL_ADMIN,LOC000012,AST-POL000006-03,OCCURRENCE,,550000.00,COMBINED_SINGLE_LIMIT,825000.00,82500.00,550000.00,0.00,FLAT,0.0045,667955.00,SALES,3005.80,3059.90,2909.61,145.48,FALSE,150.29,0.00,STATED_AMOUNT,FALSE,UMBRELLA,25.00,FALSE,,"Jan 19, 2024","Generated from APPLICATION policy status, Fleet Physical Damage Core Liability Coverage selected for sample policy coverage.",59,FALSE,"Jan 19, 2024","Jan 18, 2025",TRUE,COV013,UW_REVIEW,POL000006
POL_ADMIN,LOC000013,AST-POL000007-01,OCCURRENCE,,500000.00,COMBINED_SINGLE_LIMIT,750000.00,50000.00,500000.00,0.00,FLAT,0.0087,691546.00,SALES,6016.45,6064.58,5763.76,5763.76,TRUE,300.82,0.00,STATED_AMOUNT,FALSE,PRIMARY,100.00,FALSE,,"Jan 22, 2024","Generated from CANCELLED policy status, Fleet Physical Damage Core Liability Coverage selected for sample policy coverage.",54,FALSE,"Jan 22, 2024","Mar 29, 2024",FALSE,COV013,CANCELLED,POL000007
POL_ADMIN,LOC000014,AST-POL000008-01,OCCURRENCE,,1100000.00,COMBINED_SINGLE_LIMIT,1650000.00,165000.00,1100000.00,0.00,FLAT,0.0045,765137.00,SALES,3443.12,3587.73,3536.08,2793.50,FALSE,51.65,0.00,STATED_AMOUNT,FALSE,PRIMARY,100.00,TRUE,"Mar 17, 2024","Jan 25, 2024","Generated from ACTIVE policy status, Fleet Physical Damage Core Liability Coverage selected for sample policy coverage.",71,FALSE,"Jan 25, 2024","Jan 24, 2025",TRUE,COV015,ENDORSED,POL000008
POL_ADMIN,LOC000015,AST-POL000008-02,OCCURRENCE,,300000.00,PER_OCCURRENCE,600000.00,60000.00,300000.00,500.00,FLAT,360.0000,23.00,VEHICLE,8280.00,8809.92,9348.12,5141.47,FALSE,124.20,662.40,ACTUAL_CASH_VALUE,FALSE,EXCESS,50.00,FALSE,,"Jan 25, 2024","Generated from ACTIVE policy status, Fleet Physical Damage Vehicle Damage Coverage selected for sample policy coverage.",82,TRUE,"Jan 25, 2024","Jan 24, 2025",TRUE,COV016,ACTIVE,POL000008
