"Entity","PublisherID","SourceID","LegalName","FDN_counterpartyGroup","TaxID","FDN_currency","FDN_country","IsCustomer","IsSupplier","IsInternalEntity"
"Counterparty","ERP","CP-GLOBEX","Globex Holdings","","896233790","CURR-USD","CTRY-USA","false","false","true"
"Counterparty","ERP","CP-GLOBEX-US","Globex US Inc.","","395310485","CURR-USD","CTRY-USA","false","false","true"
"Counterparty","ERP","CP-GLOBEX-CA","Globex Canada Ltd.","","362950628","CURR-CAD","CTRY-CAN","false","false","true"
"Counterparty","ERP","CP-GLOBEX-UK","Globex UK PLC","","339670711","CURR-GBP","CTRY-GBR","false","false","true"
"Counterparty","ERP","CP-GLOBEX-DE","Globex Germany GmbH","","249827706","CURR-EUR","CTRY-DEU","false","false","true"
"Counterparty","ERP","CP-GLOBEX-SG","Globex Singapore Pte Ltd","","890779946","CURR-SGD","CTRY-SGP","false","false","true"
"Counterparty","ERP","CP-GLOBEX-BR","Globex Brazil SA","","210053353","CURR-BRL","CTRY-BRA","false","false","true"
"Counterparty","ERP","CP-CUST-001","Apex Retailers","CPG-APEX","895285932","CURR-BRL","CTRY-BRA","true","false","false"
"Counterparty","ERP","CP-CUST-002","BlueWave Markets","CPG-NOVA-SUB1","642621108","CURR-CAD","CTRY-CAN","true","false","false"
"Counterparty","ERP","CP-CUST-031","MetroSteel Fabrication","CPG-NOVA-SUB1","715283940","CURR-USD","CTRY-USA","true","false","false"
"Counterparty","ERP","CP-CUST-003","Cedar Outfitters","CPG-TERA","914763202","CURR-USD","CTRY-USA","true","false","false"
"Counterparty","ERP","CP-CUST-004","Delta Health Stores","CPG-APEX","199585092","CURR-USD","CTRY-USA","true","false","false"
"Counterparty","ERP","CP-CUST-005","Evergreen Foods","CPG-NOVA","184611066","CURR-EUR","CTRY-DEU","true","false","false"
"Counterparty","ERP","CP-CUST-006","Frontier Logistics","CPG-TERA","810026086","","CTRY-USA","true","false","false"
"Counterparty","ERP","CP-CUST-007","Harbor Industrial","CPG-APEX","995619255","CURR-BRL","CTRY-BRA","true","false","false"
"Counterparty","ERP","CP-CUST-008","Inspire Electronics","CPG-NOVA-SUB1","","CURR-SGD","CTRY-SGP","true","false","false"
"Counterparty","ERP","CP-CUST-032","Skyline Assemblers","CPG-NOVA-SUB1","830112455","CURR-EUR","CTRY-DEU","true","false","false"
